,id,track_name,size_bytes,currency,price,rating_count_tot,rating_count_ver,user_rating,user_rating_ver,ver,cont_rating,prime_genre,sup_devices.num,ipadSc_urls.num,lang.num,vpp_lic
10522,1164891129,We’re Going on a Bear Hunt,167348224,USD,2.99,3,3,3.5,3.5,1.0.3,4+,Games,37,5,13,0
10525,1165109912,WitchSpring2,956569600,USD,3.99,17,9,4.5,5.0,1.36,9+,Games,37,5,4,1
10554,1166863768,Dumber League,42499072,USD,0.99,7,0,4.5,0.0,1.2,4+,Games,40,5,3,1
10569,1168235182,诛妖奇遇-3D仙侠恋爱网游年度巨献(浪漫回合),187552768,USD,0.99,0,0,0.0,0.0,1.1,9+,Games,38,5,1,1
10579,1168920959,梦幻仙途-经典之余又大搞趣味创新（回合制）,187687936,USD,0.99,0,0,0.0,0.0,1.0,9+,Games,38,5,1,1
10587,1169297765,Fantasy Princess - Girls Makeup & Dress Up Games,97917952,USD,1.99,3,3,3.5,3.5,9999.1.1,4+,Games,40,5,1,1
10594,1169417102,ミリオン行進曲,196380672,USD,4.99,1,1,3.0,3.0,1.02,4+,Games,38,5,1,1
10609,1169971902,Hey Duggee: We Love Animals,136347648,USD,2.99,0,0,0.0,0.0,1.2,4+,Games,40,5,1,1
10636,1171015241,Sally's Law,392790016,USD,0.99,8,0,4.0,0.0,1.0.86,4+,Games,38,5,4,1
10653,1171330617,江湖侠客录－武侠迷必玩单机手游,49906688,USD,0.99,0,0,0.0,0.0,4.58,12+,Games,40,5,1,1
10691,1172155464,胜者为王-多人同时在线PK传奇类手机网游！,250616832,USD,0.99,0,0,0.0,0.0,1.0.1,9+,Games,38,0,1,1
10693,1172179917,Replica : A Little Temporary Safety,127227904,USD,1.99,35,19,4.5,4.5,1.2,12+,Games,37,5,1,1
10718,1173388188,修仙幻想-经典萌系回合,187419648,USD,0.99,0,0,0.0,0.0,1.0,4+,Games,38,5,1,1
10720,1173396715,挂机三国-最强挂机游戏,105127936,USD,0.99,0,0,0.0,0.0,1.3.40,17+,Games,40,5,1,1
10733,1173642524,Mundo Lanugo en Navidad – Juegos Navideños,225289216,USD,1.99,0,0,0.0,0.0,1.1,4+,Games,40,5,1,1
10737,1173723621,弑仙问情,151494656,USD,0.99,0,0,0.0,0.0,1.0,9+,Games,40,5,1,1
10771,1174468136,Tokyo Wizard,23376896,USD,2.99,10,10,4.0,4.0,1.0.1,12+,Games,38,5,1,1
10772,1174489793,Snowball!!,57315328,USD,1.99,13,13,5.0,5.0,1.0,4+,Games,40,4,10,1
10774,1174545438,Jurassic VR for Google Cardboard,131453952,USD,1.99,7,3,1.5,1.5,1.2,4+,Games,37,0,1,1
10804,1175953961,Shopkins Run!,169488384,USD,3.99,183,77,4.5,4.5,1.1.1,4+,Games,38,5,1,1
10884,1178433845,新超级群英传OL-单机党必玩的三国群英手游,246023168,USD,0.99,1,1,4.0,4.0,1.6,9+,Games,37,5,1,1
10918,1179462965,Farming USA 2,299749376,USD,2.99,269,35,4.5,4.5,1.33,4+,Games,37,5,1,1
10963,1181024195,My Town : Beauty Contest,203589632,USD,2.99,31,31,4.5,4.5,1.0,4+,Games,37,5,1,1
10982,1181616006,Island Delta,628180992,USD,2.99,26,0,4.5,0.0,1.2.4,9+,Games,37,5,1,1
