,size_mb,price,rating_count_tot,user_rating,prime_genre,sup_devices.num,lang.num,free_vs_paid,min_profit
693,75.12,0.0,248,3.0,Utilities,38,2,free,0.0
694,405.94,4.99,3326,5.0,Health & Fitness,38,5,paid,16596.74
695,152.89,0.0,100,4.5,Shopping,38,1,free,0.0
696,95.69,0.0,102,4.5,Productivity,37,2,free,0.0
697,61.36,0.99,3662,4.5,Entertainment,37,8,paid,3625.38
698,28.85,0.99,219418,4.5,Games,37,6,paid,217223.82
699,10.03,3.99,2293,4.5,Weather,40,1,paid,9149.07
700,81.33,0.0,16979,4.5,Sports,37,8,free,0.0
701,97.02,0.0,110420,4.5,Music,37,14,free,0.0
702,50.18,1.99,4719,4.0,Lifestyle,37,23,paid,9390.81
703,76.04,0.0,157,5.0,Utilities,38,3,free,0.0
704,7.66,0.99,1537,4.5,Education,37,1,paid,1521.6299999999999
705,30.08,0.0,29,3.5,Food & Drink,38,2,free,0.0
706,107.7,0.0,2270,4.5,Utilities,38,3,free,0.0
707,62.87,0.0,1724546,4.5,Games,40,1,free,0.0
708,131.91,0.0,170843,4.5,Games,40,1,free,0.0
709,216.39,0.0,70122,4.5,Games,24,1,free,0.0
710,66.8,4.99,1887,3.0,Lifestyle,37,4,paid,9416.130000000001
711,287.91,0.0,293857,4.5,Games,40,8,free,0.0
712,14.45,19.99,193,4.5,Sports,24,1,paid,3858.0699999999997
713,52.48,0.0,131695,4.5,Music,37,12,free,0.0
714,199.76,0.0,47506,3.5,Entertainment,24,1,free,0.0
715,6.31,2.99,2261,4.5,News,38,1,paid,6760.39
716,44.69,0.99,26,3.0,Games,26,1,paid,25.74
717,69.72,0.0,56399,4.0,Entertainment,24,13,free,0.0
718,108.52,0.0,5987,2.5,Entertainment,37,1,free,0.0
719,118.94,0.0,414803,4.5,Games,38,1,free,0.0
720,225.13,0.0,135962,4.0,Productivity,37,56,free,0.0
721,4.12,1.99,0,0.0,Photo & Video,37,2,paid,0.0
722,214.53,0.0,549,4.5,Lifestyle,37,2,free,0.0
